cal,d14c,d14csig,paper_ref,tree_ref
488,9.8,2.3,28,2
489,14.1,2.1,28,2
490,11.3,2.3,28,2
491,7.9,2.4,28,2
492,11,2.3,28,2
493,6.1,2.3,28,2
494,12.4,2.3,28,2
495,4.5,2.1,28,2
496,7.7,2.5,28,2
497,0.2,2.9,28,2
498,4.6,2.1,28,2
500,7.6,2.6,28,2
501,6,2.1,28,2
502,10.5,2.4,28,2
503,0.3,2.2,28,2
506,7.5,2.3,28,2
508,2.1,2.4,28,2
509,3.7,2.1,28,2
510,3.3,2.1,28,2
511,6.3,2.4,28,2
512,3.1,2.4,28,2
515,1.8,2.4,28,2
516,-3.6,2.7,28,2
517,-1.6,3.6,28,2
518,0,3.2,28,2
3574,11.15185761,2,22,1
3573,12.70490542,2.5,22,1
3572,13.51516587,2,22,1
3571,16.17498823,2.5,22,1
3570,14.34805769,2,22,1
3569,16.1280374,2.4,22,1
3568,16.24921079,2,22,1
3567,13.51304713,2.4,22,1
3566,14.17898712,2,22,1
3565,16.78402799,2.4,22,1
3564,18.94827063,2,22,1
3563,14.1333738,2.5,22,1
3562,15.82593591,2,22,1
3561,12.6038399,2.5,22,1
3560,15.4606494,2.1,22,1
3559,14.07128617,2.5,22,1
3558,18.64091564,2,22,1
3557,18.42905283,2.5,22,1
3556,19.32617624,2,22,1
3555,18.38926564,2.5,22,1
3554,13.34888737,2.4,22,1
3553,19.06046168,2.5,22,1
3552,15.17986635,2.5,22,1
3551,16.51095216,2.5,22,1
3550,15.07637266,2.5,22,1
3549,15.20058012,2.8,22,1
3548,13.32036867,2.6,22,1
3547,15.57429851,2.8,22,1
3546,16.65461567,2.8,22,1
3545,16.66940787,2.7,22,1
3544,18.67376099,2,22,1
3543,17.7288847,2.5,22,1
3542,16.109572,2.2,22,1
3541,20.86830901,2.5,22,1
3540,14.86123321,2,22,1
3539,14.92436138,3,22,1
3538,14.69793541,2,22,1
3537,17.57756346,2,22,1
3536,14.04893283,2.5,22,1
3535,17.08699613,2.5,22,1
3534,16.05371427,2.5,22,1
3533,16.22685815,2.2,22,1
3532,15.04635402,2.1,22,1
3531,18.25148709,2,22,1
3530,15.25863559,2.1,22,1
3529,14.5005756,2.1,22,1
3528,12.52813165,2.3,22,1
3527,11.55948886,2.1,22,1
3526,15.99727717,2.2,22,1
3525,9.020162602,2.3,22,1
3524,12.10666106,2.1,22,1
3523,11.21885056,2.3,22,1
3522,10.95943007,2.1,22,1
3521,9.37773222,2.1,22,1
3520,8.990233914,2.1,22,1
3519,10.83884553,2.1,22,1
3518,12.00075701,2.3,22,1
3517,12.21901472,2.1,22,1
3516,10.61020951,2.1,22,1
3515,10.61256755,2,22,1
3514,14.11147009,2.1,22,1
3513,10.15741198,2.3,22,1
3512,7.290482204,2.1,22,1
3511,12.44953005,2.1,22,1
3510,11.66394128,2.1,22,1
3509,9.159090939,2.4,22,1
3508,15.99382381,2.4,22,1
3507,9.882786522,2.3,22,1
3506,14.29096487,2.1,22,1
3505,14.56137582,2.3,22,1
3504,8.087418259,2.1,22,1
3502,7.348872451,2.1,22,1
3501,9.932410356,2.1,22,1
3500,10.89874458,2.4,22,1
3499,9.394859065,2,22,1
3498,6.076413451,2.1,22,1
3497,7.371478377,2.1,22,1
3496,13.17186396,2.3,22,1
3495,9.167961203,2.1,22,1
3494,13.53050292,2.3,22,1
3493,12.73918788,2.1,22,1
3492,10.80681839,2.1,22,1
3491,9.840170558,2.1,22,1
3490,9.962478028,2.1,22,1
3489,9.648204198,2.3,22,1
3488,9.237844944,2.1,22,1
3487,8.702716739,2.1,22,1
3486,11.37448951,2,22,1
3485,7.601792459,2.1,22,1
3484,10.00479358,2,22,1
3483,8.12709555,2,22,1
3482,10.79191539,2,22,1
3481,10.64234839,2,22,1
3480,13.24100326,2,22,1
3479,13.23084746,2,22,1
3478,17.25173141,2.2,22,1
3477,11.46420692,2,22,1
3476,13.93971739,2.1,22,1
3475,12.54551012,2,22,1
3474,11.31172188,2.1,22,1
3473,7.443945732,2.1,22,1
3472,12.17305477,2.1,22,1
3471,4.43252099,2,22,1
3470,10.87400177,2.1,22,1
3469,11.51416771,2,22,1
3468,8.506671869,2.1,22,1
3467,11.70065974,2.1,22,1
3466,11.32471475,2.1,22,1
3465,10.63871919,2.1,22,1
3464,14.64292393,2,22,1
3463,13.53010712,2.1,22,1
3462,11.1989831,2,22,1
3461,10.47157658,2.1,22,1
3460,10.86439196,2.1,22,1
3459,6.459118141,2.1,22,1
-4,-22.5,3.7,2,1
-3,-24.1,2.4,2,1
-2,-25.8,2.2,2,1
-1,-25.6,2.2,2,1
0,-25.8,2.2,2,1
1,-26,2.2,2,1
2,-22.2,2.4,2,1
3,-21.6,2.1,2,1
5,-22.4,2.6,2,1
6,-20.7,2.6,2,1
6,-25,2.2,2,1
7,-21.9,2.1,2,1
7,-27.4,2.5,2,1
8,-21,2.1,2,1
8,-19.9,2.2,2,1
9,-19.9,2.6,2,1
10,-23,2.6,2,1
11,-20.1,2.4,2,1
12,-16.5,2.2,2,1
12,-16,2.2,2,1
13,-17.2,2.1,2,1
14,-16.5,2.2,2,1
15,-16.7,2.4,2,1
16,-15.5,2.5,2,1
17,-18.6,2.2,2,1
18,-20.1,2.2,2,1
18,-21.4,2.4,2,1
19,-16.6,2.4,2,1
20,-14.9,2.2,2,1
21,-16.5,2.2,2,1
21,-18.7,2.2,2,1
22,-16,2.2,2,1
23,-16.1,2.7,2,1
24,-16.6,2.1,2,1
25,-11.2,2.1,2,1
26,-10.6,2.2,2,1
27,-15.7,2.1,2,1
28,-11.9,2.5,2,1
29,-11.1,2.5,2,1
30,-13.1,2.5,2,1
31,-11.9,2.2,2,1
32,-11.5,2.1,2,1
32,-11.1,2.2,2,1
33,-7.6,2.1,2,1
33,-11.3,2.5,2,1
34,-12.4,2.5,2,1
35,-6.1,5.2,2,1
169,-4.2,2.2,2,1
169,-5.9,2.2,2,1
170,-2.1,2.2,2,1
170,-0.7,2.1,2,1
171,-0.4,2.2,2,1
172,0.3,2.2,2,1
173,1.4,1.6,2,1
174,2.4,2.2,2,1
174,2.8,2.2,2,1
175,1.1,2.2,2,1
176,-1.2,2.1,2,1
177,5.5,2.3,2,1
177,-2.5,2.2,2,1
178,-0.1,1.7,2,1
179,1.2,2.2,2,1
180,0,2.2,2,1
181,0.1,2.2,2,1
182,-0.8,2.2,2,1
183,-0.6,2.2,2,1
184,1.5,2.2,2,1
185,2.1,2.2,2,1
186,3,2.2,2,1
187,-0.7,2.1,2,1
188,2.6,2.2,2,1
189,4.6,2.3,2,1
189,4.6,2.3,2,1
190,3.6,2.2,2,1
190,5.8,2.6,2,1
191,4.4,2.3,2,1
192,7.2,2.3,2,1
193,3.8,2.6,2,1
194,4.2,1.6,2,1
195,4.2,2,2,1
196,4.4,2.3,2,1
197,4,2.2,2,1
197,8.3,2.5,2,1
197,6.3,2.6,2,1
198,4.7,2.3,2,1
199,2.5,1.7,2,1
200,4.7,2.3,2,1
200,5.4,2.1,2,1
202,4.5,2.3,2,1
203,6.9,2.3,2,1
204,6.9,2.3,2,1
204,7.9,2.3,2,1
205,6.3,2.3,2,1
205,2.4,2.6,2,1
206,2.8,2.2,2,1
207,4.1,1.8,2,1
207,7,2.8,2,1
208,5.5,2.3,2,1
